数据库：分省年度数据
指标：技术市场成交额(亿元)
时间：最近10年
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
北京市,,7947.51,7005.65,6316.16,5695.28,4957.82,4486.89,3940.98,3453.89,3137.19
天津市,,1650.87,1256.83,1089.56,909.25,685.59,551.44,552.64,503.44,388.56
河北省,,1003.83,747.32,554.96,381.19,275.98,88.92,59.00,39.54,29.22
山西省,,161.43,134.47,44.98,109.52,150.76,94.15,42.56,51.20,48.46
内蒙古自治区,,51.30,41.15,35.95,22.48,19.84,19.61,12.05,15.39,13.94
辽宁省,,971.35,755.12,632.81,557.59,474.49,385.83,323.22,267.49,217.46
吉林省,,36.95,108.15,462.15,474.13,341.95,219.92,116.42,26.47,28.58
黑龙江省,,460.18,350.14,265.20,232.88,165.92,146.71,125.81,127.26,120.28
上海市,,3870.73,2545.49,1583.22,1422.35,1225.19,810.62,780.99,663.78,592.45
江苏省,,2986.78,2606.17,2087.85,1471.52,991.45,778.42,635.64,572.92,543.16
浙江省,,2435.07,1855.78,1403.32,888.01,590.66,324.73,198.37,98.10,87.25
安徽省,,2875.45,1787.71,659.57,449.61,321.31,249.57,217.37,190.47,169.83
福建省,,259.52,196.80,163.54,139.59,84.52,75.46,43.22,52.14,39.19
江西省,,733.88,409.38,233.41,148.61,115.82,96.21,79.01,64.85,50.76
山东省,,3231.83,2477.79,1903.89,1110.02,819.95,511.64,395.95,307.55,249.29
河南省,,1020.75,607.33,379.78,231.89,149.28,76.85,58.71,45.04,40.79
湖北省,,3010.00,2090.78,1665.81,1429.84,1204.09,1033.08,903.84,789.34,580.68
湖南省,,2542.89,1261.26,735.95,490.69,281.61,203.19,105.63,105.06,97.93
广东省,,3967.48,4099.61,3267.21,2223.08,1365.42,937.08,758.17,662.58,413.25
广西壮族自治区,,226.99,940.58,91.67,77.56,61.41,39.42,33.99,7.31,11.58
海南省,,31.55,28.42,20.19,9.11,6.94,4.11,3.44,2.19,0.65
重庆市,,559.47,184.52,117.79,56.65,188.35,51.36,147.19,57.24,156.20
四川省,,1643.53,1388.69,1244.59,1211.95,996.70,405.83,299.30,282.32,199.05
贵州省,,390.72,289.27,249.11,227.18,171.10,80.74,20.44,25.96,20.04
云南省,,218.95,106.10,49.95,82.70,89.49,84.76,58.26,51.84,47.92
西藏自治区,,6.21,1.73,0.78,0.96,0.04,0.04,,,
陕西省,,3048.73,2343.44,1758.72,1467.35,1125.29,920.94,802.79,721.82,640.02
甘肃省,,335.84,280.39,233.16,196.42,180.88,162.96,150.66,129.70,114.52
青海省,,16.03,14.10,10.56,9.10,79.36,67.72,56.92,46.88,29.10
宁夏回族自治区,,34.05,25.09,16.81,14.90,12.11,6.67,4.05,3.52,3.18
新疆维吾尔自治区,,31.18,18.85,15.11,7.82,3.92,5.76,4.28,3.03,2.82
数据来源：国家统计局
